SPA1 power,SPA2 power,SPA1 bg fraction,SPA2 bg fraction,RC bg intensity,SPA1 detuning,SPA2 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-800000.0,0.0,152.0,0.03475429659451674,0.0003500368614148865
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-733333.3333333334,0.0,152.0,0.03468595386726122,0.00030681373157196486
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-666666.6666666667,0.0,152.0,0.034619917971230964,0.00028660825204912077
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-600000.0,0.0,152.0,0.03457488619580941,0.0001993387083644633
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-533333.3333333334,0.0,152.0,0.03454788603715116,0.00009483666160951851
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-466666.6666666667,0.0,152.0,0.03455894307270526,0.000029736538489174483
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-400000.0,0.0,152.0,0.034580916879786296,0.000010401972722641398
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-333333.3333333334,0.0,152.0,0.03459311535926147,0.00002485302275292333
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-266666.66666666674,0.0,152.0,0.03460373879501992,3.0292857680322724e-6
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-199999.99999999994,0.0,152.0,0.03460762464967874,1.7944174987054292e-6
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-133333.3333333333,0.0,152.0,0.034610009519383145,1.6901314757065407e-6
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,-66666.66666666666,0.0,152.0,0.034610813648679864,1.1246757912411723e-6
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,0.0,0.0,152.0,0.03459956602441586,9.230571174502026e-7
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,66666.66666666666,0.0,152.0,0.03462657762668095,2.6305281316494144e-6
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,133333.3333333333,0.0,152.0,0.03461687366459515,3.353391919063429e-7
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,199999.99999999994,0.0,152.0,0.03464404141857763,7.531986279122337e-6
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,266666.6666666666,0.0,152.0,0.034724645582154066,0.00006008832722884635
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,333333.33333333326,0.0,152.0,0.03462889430907679,0.0001759063682811231
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,399999.9999999999,0.0,152.0,0.034443539892484595,0.0009165070571455758
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,466666.66666666657,0.0,152.0,0.03420898274889562,0.0009103418880088335
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,533333.3333333333,0.0,152.0,0.03418825911765852,0.001816540766704383
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,600000.0000000001,0.0,152.0,0.03463992600640242,0.03775589346086503
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,666666.6666666667,0.0,152.0,0.03425601679066188,0.0013798763822823051
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,733333.3333333334,0.0,152.0,0.0343166700370087,0.0008227742932371834
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,800000.0,0.0,152.0,0.034338054537978974,0.0008535295302321821
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,866666.6666666667,0.0,152.0,0.03434189517277417,0.036751769482703145
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,933333.3333333334,0.0,152.0,0.03439253862306445,0.04487852993249855
0.0002,0.00003,0.01,0.0025118864315095794,0.0,0.0,1000000.0,0.0,152.0,0.03442513078275743,0.04302803676345418
0.0002,0.00003,0.01,0.00630957344480193,0.0,0.0,-1000000.0,0.0,152.0,0.03373846275367275,0.0012963599341979696
0.0002,0.00003,0.01,0.00630957344480193,0.0,0.0,-933333.3333333334,0.0,152.0,0.03472161664511366,0.0012158541618364149
0.0002,0.00003,0.01,0.00630957344480193,0.0,0.0,-866666.6666666667,0.0,152.0,0.034650755175354354,0.0010417229841317445
0.0002,0.00003,0.01,0.00630957344480193,0.0,0.0,-800000.0,0.0,152.0,0.034678748223524715,0.0008629269636665794
0.0002,0.00003,0.01,0.00630957344480193,0.0,0.0,-733333.3333333334,0.0,152.0,0.03461830018107204,0.000737759158415039
0.0002,0.00003,0.01,0.00630957344480193,0.0,0.0,-666666.6666666667,0.0,152.0,0.034562019390631186,0.0006317223666806624
0.0002,0.00003,0.01,0.00630957344480193,0.0,0.0,-600000.0,0.0,152.0,0.03453147705606934,0.00039717275175298457
0.0002,0.00003,0.01,0.00630957344480193,0.0,0.0,-533333.3333333334,0.0,152.0,0.03451964304176981,0.00019416987204391362
0.0002,0.00003,0.01,0.00630957344480193,0.0,0.0,-466666.6666666667,0.0,152.0,0.03454633350654174,0.000079927778687116
0.0002,0.00003,0.01,0.00630957344480193,0.0,0.0,-400000.0,0.0,152.0,0.03457303113366369,0.000022932296224256977
