SPA1 power,SPA1 bg fraction,SPA2 power,SPA2 bg fraction,SPA1 detuning,SPA2 detuning,v_forward,prob ini,prob inter,prob fin
0.0002,0.01,1e-6,0.040600000000000004,0.0,-1200000.0,184.0,0.02824823416371031,0.8958084567609991,0.00010462625079072663
0.0002,0.01,1e-6,0.040600000000000004,0.0,-1000000.0,184.0,0.02824258291714412,0.8922630805459757,0.00013348101914349657
0.0002,0.01,1e-6,0.040600000000000004,0.0,-799999.9999999998,184.0,0.028371953520568705,0.8611504283932412,0.022344937143565887
0.0002,0.01,1e-6,0.040600000000000004,0.0,-599999.9999999999,184.0,0.02838353478230852,0.8221975509353497,0.051984110932906606
0.0002,0.01,1e-6,0.040600000000000004,0.0,-399999.9999999999,184.0,0.028405768505421272,0.7374502999674406,0.11355466475492619
0.0002,0.01,1e-6,0.040600000000000004,0.0,-199999.99999999994,184.0,0.02842312519691966,0.6760330103401785,0.1617781007490167
0.0002,0.01,1e-6,0.040600000000000004,0.0,0.0,184.0,0.02845174894750638,0.5848937177571012,0.3023303210344415
0.0002,0.01,1e-6,0.040600000000000004,0.0,200000.00000000017,184.0,0.02846006405315004,0.5914089259327873,0.29895767138875007
0.0002,0.01,1e-6,0.040600000000000004,0.0,400000.00000000035,184.0,0.028388480381914903,0.8883598239604807,0.008499302337481652
0.0002,0.01,1e-6,0.040600000000000004,0.0,600000.0000000001,184.0,0.028467673137053576,0.6959858630742597,0.18015532829754405
0.0002,0.01,1e-6,0.040600000000000004,0.0,800000.0000000002,184.0,0.02838124277198617,0.8974421008264472,0.0003725187658623546
0.0002,0.01,1e-6,0.040600000000000004,0.0,1000000.0,184.0,0.028373234043430076,0.8973099685609729,0.00021461130419485412
0.0002,0.01,1e-6,0.040600000000000004,0.0,1200000.0000000002,184.0,0.028371472254908953,0.8974952355395411,0.0001922060868547572
0.0002,0.01,1e-6,0.040600000000000004,0.0,1400000.0000000005,184.0,0.028370678566278583,0.8974226028325781,0.0001666039756231821
0.0002,0.01,1e-6,0.040600000000000004,0.0,1600000.0,184.0,0.02837227916504689,0.8974624966395117,0.00020696788863803505
0.0002,0.01,1e-6,0.040600000000000004,0.0,1800000.0000000002,184.0,0.02837253194409958,0.8975393526265768,0.0002541095401744959
0.0002,0.01,1e-6,0.040600000000000004,0.0,2000000.0,184.0,0.0283729558362892,0.8975308351711585,0.0001896298454328251
0.0002,0.01,1e-6,0.0505,0.0,-2000000.0,184.0,0.028298248857695815,0.8977679273579857,0.000023422427970862725
0.0002,0.01,1e-6,0.0505,0.0,-1800000.0,184.0,0.027995977537871246,0.8977646882710894,0.00032468771490089677
0.0002,0.01,1e-6,0.0505,0.0,-1600000.0,184.0,0.028143002306968954,0.8977565336836651,0.00016261769049870153
0.0002,0.01,1e-6,0.0505,0.0,-1400000.0,184.0,0.028028634658277363,0.8977792872721454,0.0003198737982367079
0.0002,0.01,1e-6,0.0505,0.0,-1200000.0,184.0,0.028227757336037367,0.8956139320926096,0.00011826523724162479
0.0002,0.01,1e-6,0.0505,0.0,-1000000.0,184.0,0.028210859433641332,0.8917703538036921,0.000162933973112931
0.0002,0.01,1e-6,0.0505,0.0,-799999.9999999998,184.0,0.028368586112484533,0.8581920569127056,0.024464629951863995
0.0002,0.01,1e-6,0.0505,0.0,-599999.9999999999,184.0,0.028381212272593135,0.8174127533116704,0.05568643144692824
0.0002,0.01,1e-6,0.0505,0.0,-399999.9999999999,184.0,0.028404326023826608,0.7303352260714933,0.1191632064816264
0.0002,0.01,1e-6,0.0505,0.0,-199999.99999999994,184.0,0.02842210624305228,0.6678153574949006,0.16810150237370597
0.0002,0.01,1e-6,0.0505,0.0,0.0,184.0,0.02845119413566525,0.5755168059257786,0.31131425567351056
0.0002,0.01,1e-6,0.0505,0.0,200000.00000000017,184.0,0.028460513815073675,0.5780037404434872,0.3108319739363073
0.0002,0.01,1e-6,0.0505,0.0,400000.00000000035,184.0,0.028386968028160063,0.8860902448216811,0.010587154635415938
0.0002,0.01,1e-6,0.0505,0.0,600000.0000000001,184.0,0.02849120464314706,0.7123407880890577,0.16562067198169153
0.0002,0.01,1e-6,0.0505,0.0,800000.0000000002,184.0,0.02837919442272777,0.8974808040651856,0.00036921747256222717
0.0002,0.01,1e-6,0.0505,0.0,1000000.0,184.0,0.02837045059320354,0.8973220166371413,0.00020481237469509474
0.0002,0.01,1e-6,0.0505,0.0,1200000.0000000002,184.0,0.0283684665310457,0.8975179630094846,0.00018024129318451726
0.0002,0.01,1e-6,0.0505,0.0,1400000.0000000005,184.0,0.028367668003690585,0.8974435179877613,0.00015950406365573746
0.0002,0.01,1e-6,0.0505,0.0,1600000.0,184.0,0.028369272494961885,0.8974775488709843,0.000202674527187989
