stage,detuning_hz,intensity_prefactor,singlet,triplet_m,triplet_0,triplet_p
AP1,-3200000.0,0.5623413251903491,0.08224002005851391,0.08179978337572746,0.08011553891623507,0.08180016275742678
AP1,-3200000.0,1.1006941712522103,0.1541784510861108,0.15325806715918874,0.15076116309084867,0.15325895487137095
AP1,-3200000.0,2.1544346900318843,0.2784159235157021,0.2764501551788849,0.2720835153188016,0.276452524272708
AP1,-3200000.0,4.216965034285822,0.46918203829624244,0.4647067545439046,0.4562696335438347,0.46471234064702716
AP1,-3200000.0,8.25404185268019,0.6973636293760501,0.686600805633818,0.6802582859209612,0.6866008869282868
AP1,-3200000.0,16.155980984398745,0.869509707737678,0.8467037446848057,0.8358871126623382,0.8467027285674872
AP1,-3200000.0,31.622776601683793,0.9003072720044418,0.8567486274361303,0.8351754092528911,0.8567480711602125
AP1,-2850000.0,0.01,0.003501461076431526,0.003483606856882858,0.003360697460316901,0.0034836242786451827
AP1,-2850000.0,0.019573417814876606,0.006856794697055345,0.006828054374108992,0.006618337862637708,0.006828089175654823
AP1,-2850000.0,0.03831186849557289,0.013396119758716159,0.0133486800735374,0.012988217712094548,0.013348749471130707
AP1,-2850000.0,0.07498942093324558,0.0260730621626,0.025992448784240934,0.02537537108316856,0.02599258643284137
AP1,-2850000.0,0.14677992676220697,0.050403812999953446,0.05026176871797626,0.04922497870289131,0.05026203964606813
AP1,-2850000.0,0.28729848333536656,0.09622204096888586,0.09595966837974997,0.09427588499934315,0.09596019263468736
AP1,-2850000.0,0.5623413251903491,0.17941914133514805,0.1789064093690045,0.17628691853270737,0.17890738162725756
AP1,-2850000.0,1.1006941712522103,0.3202436539657282,0.3191844808323417,0.31529862075504395,0.31918605401037936
AP1,-2850000.0,2.1544346900318843,0.5281243111116662,0.5258399080708167,0.520844323245619,0.5258410852806937
AP1,-2850000.0,4.216965034285822,0.7630820886953406,0.7583720228225551,0.7551036606803645,0.7583669789833265
AP1,-2850000.0,8.25404185268019,0.9281506238913398,0.9189678697179119,0.9132712553128902,0.9189702011888957
AP1,-2850000.0,16.155980984398745,0.964160011229926,0.9469385307214153,0.9400076725113997,0.9469279040557059
AP1,-2850000.0,31.622776601683793,0.9384395009258887,0.9068832263710953,0.8926540253088694,0.9068870883625021
AP1,-2500000.0,0.01,0.006841705159731302,0.006832233984205322,0.0069822728416118595,0.006832209107472176
AP1,-2500000.0,0.019573417814876606,0.013336249555031562,0.013316572072807648,0.013531608869845802,0.013316524097183723
AP1,-2500000.0,0.03831186849557289,0.02592289266902894,0.02588321982784303,0.026187029878560177,0.02588312693978248
AP1,-2500000.0,0.07498942093324558,0.05009517346196802,0.05001723420672526,0.05043164651103426,0.05001705463748734
AP1,-2500000.0,0.14677992676220697,0.09568780345042927,0.09553886215823297,0.09606681375930197,0.09553851587877
AP1,-2500000.0,0.28729848333536656,0.17868397488228568,0.17840854605411197,0.17901344940547878,0.17840787495965252
AP1,-2500000.0,0.5623413251903491,0.3196317192808046,0.31914136095306145,0.3197756151352891,0.3191400657871104
AP1,-2500000.0,1.1006941712522103,0.5288388780527264,0.5279979721242675,0.528696906935021,0.5279956872395142
